Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9645647 b,8666945,"£545,750","£20,000",46.54%,01 Feb 2025,£1.170000,0.02%,Live,2,9645647,2,01/02/2025,0
9318054,8999926,"£500,000","£250,000",50.00%,11 Apr 2025,£14.625000,0.26%,Live,2,9318054,1,11/04/2025,0
9919857 d,8755537,"£4,140,080","£21,000",42.07%,14 Nov 2024,£1.228500,0.02%,Live,4,9919857,8,14/11/2024,0
9795308,8837697,"£450,000","£221,000",49.11%,14 Apr 2025,£12.928500,0.23%,Live,2,9795308,1,14/04/2025,0
9197641,8443059,"£450,000","£225,000",50.00%,15 Mar 2025,£13.162500,0.24%,Live,2,9197641,1,15/03/2025,0
9564115,8629372,"£525,000","£242,500",50.00%,15 Apr 2025,£14.186250,0.25%,Live,2,9564115,2,15/04/2025,0
9116419 b,8543592,"£3,011,753","£85,000",47.23%,16 Dec 2024,£4.972500,0.09%,Extended (No ICF),2,9116419,2,16/12/2023,366
9609538,8116467,"£590,000","£295,000",50.00%,17 Mar 2025,£17.257500,0.31%,Live,2,9609538,1,17/03/2025,0
9495342,8945882,"£1,300,000","£400,000",50.00%,18 Apr 2025,£23.400000,0.42%,Live,2,9495342,2,18/04/2025,0
9850896,8727048,"£550,000","£240,000",48.09%,16 Apr 2025,£14.040000,0.25%,Live,2,9850896,2,16/04/2025,0
